,Job_Category,Job_Title,Company_Name,Location,Summary,Date,URL
0,Data Scientist,Data Scientist / Junior Data Scientist,Charterhouse Partnership,Hong Kong,Experience in working with Big Data would be an advantage. Work across multiple functional teams to achieve end-to-end data driven solutions....,Just posted,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcw6uW6vgTZLgXhKeDx6fWYiIsrhrOCmmi-kuMA86N0TJ64iI3Njweal_jk-s2j0NYdhdSz1t7Op734Vx2pgYs5n92-7kFqfFVGKDAtcfmyRlOarjmcgLvtVw705_8ndIwGKiziNFC00ur97xhsheRGcSAnXwepvLUrxd-hrWxAZs1WhO7XKUyk8u7mTcs3LSHfhmkCRTTqJugD0KdjFbEPpXZEZNr7LEbNJHftDw9cUNfaOLSv0Uuco85Ua_ccxgFROWACt4ZMAq1dIjSClDAi1dikIjpp1XiGPNAAOs6WCIvkiCAapdC-s9niZNzA_BXnMPwttG_J6TC-0ecwCffi3UMJAAOvvVA-Iqz52RHYEtp6rAmLrE_UNKCqNB8KYHXUKskfl9-ffpoWdoVy5L_EtIG-qfIROhqK75We1V6HMdXUtRXG0MDCB5qzDtBMnE5LyOR8y1DZmTVk48yTA_l1NuNz59QbhJra10-TvxSuQsqiddfMIq6oDxX9JcNpF6MwznUHihlPW6ljWKR2k3tH-7OPPn5BBFVTgsUnIbE9ww09X9ImFGxpY5VEa7wPBsAEYkONt1ZftOy1RjowVb9jy&vjs=3&p=1&sk=&fvj=0
1,Data Scientist,"Multiple Quants / Data Scientists – Machine Learning - Artificial Intelligence – credit, rates, bonds [bonds rv], equities, FX, volatility trading - Big Data",BAH Partners,Hong Kong,Experience with Big Data. 2-8 years years of experience working as a quantitative analyst or data scientist in any area....,2 days ago,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9s9TFiKNzkgpJhS0gcoCqHE2AnYB4vQTO5n3BvDZ-_a_t849NWXuG_B70kerQuwJsF44tNmcbZDCzP28VxXoaNy7dSAzQmZlsjKxbXDML-uIBF3h6AkYS9E2XuqqHLE9catVGIMSw7sfL0wlH3s0mM_UGRrdwo6tOf5lg8fRlDzzmvHksx2KtjgmbyFpcHkGBI3BfmJCSlMChRz1AaWYLiB1A0cQAu1hhQ_iecXZ_vKGKthDAGNRv_7Kqj_2IXE9q4BtdFCZjVmCJqW4bcAbPmRJChAZAu1YghT_ZezkzQEetgpvhcJ4v3PwEFPqCQi7byA8y3a6ks1iwerQeW0ztmrfOdtEUGJDvhXzdOTgdK3u96WAKaefIClhNSE1dkOtDsWkS8jM3IUixrkx9n2oTuCywvsI1lthZ4e2kMKXLdmCehFr7S6ntGcl9_b365qaOkR-nwUIEmoNKTwvk688d1EtcVr4V6ltQ48LPAbiMqpm2U9M-zbM82KlcqqwNW_4VnL2dIsfh25Hk9tqr2Lndga-6jpaxS1VJmzFm36hrCcAqElcAEK1sO1sgkhC46mBCQAoNChUlJbGyP2WGetbfRlDoVweKM7lQ6i2T4UqTqYdzi3CCvklaXQ_i4BFGNpfIY229QH-_ZatpfUXKrFZEHcH6fD7wDWHIK-wj1SyN2-JqWbZ77dHciyowGVBOW5RbGoDGMT66kBNDozU5SDQd_xCbMA6ZtO6dG2maTHVWbth_YmZShBGRE1rdf-xg8aKlyAm3zBHI8CsX90vOIqXZF7fQpPrhr2oh8P8ARbnXqEDGvz8IzgowIhTEciiqDHn4ecO8JFAeAowMHFJ3RXYPz1kLZMBxg7Q3yiTGstfMEslrDnVCrynkZJj4vhiVKDJQUXABweW3qg7oJdiR25pJHC35q7qrTwUwUYanHBiJocrsSiG6eTiLErFW-s_mX111ZDCF6FFKaguZ8XbrGRxAAIYDvREDwMDGg==&vjs=3&p=2&sk=&fvj=0
2,Data Scientist,Senior Business Strategy Manager / Business Strategy Manager (Data Scientist),Bank of China (Hong Kong) Limited,Hong Kong,"Data collected would be used for recruitment purposes only. Analyze structured and unstructured data, visualize findings, discover insights and propose new...",Just posted,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcw6uW6vgTZLgQc73asquLkGisx46wyCAhPsSBaz0S-0PLeYWkQ-GY4mcnFWPwj51_0Q-c3PGSp2kofVczWFB9nM2gNm2h2_n7_aSB4Vpsjp1x0AqSHVW6mnWGROOWcuY8Da2jrd0gLjyEiXuqWgwM5CDx_sb172QTWEFHzX8O6iP92Y69mTSFMdn2jz0lI8x7Wenfpb27jKIhXQc1VEMozfCboqNxbN0E5veGNzpC5yyU8ZD0S65j2iEJHM2-8hx0l3QBga_bnoitIjLBsaj2WFP7fAmUWT9yvkrMu09q2pQ4WluiYGznyz8a30Y_HERNfHkZSM1mk45NdxBJpdJS1xDuzcur9fjf6Iz77TdT4Byv1CDKjJ7p8iFkZY4tQcz6bcY--tOIrG5pBTK2xBQlYlefteesmSvHvdOS4MUrCZgAY3wgPXu0bOFrGcHGxid9GG2a23-XwKGFY-UYinbAxI1Al6rASk508UllYndCz_-lzLCIoTqV0Mz2__G3ysVq_TVpzJFwgBG_v-k3Mavn4EzCxTQfX1qyhs3o4M3Wx3JNfNgXncoc4HD0qmHblsAG0-t4VRa2zxrtpPjV49-NDx&vjs=3&p=3&sk=&fvj=0
4,Data Scientist,Data Scientist,South China Morning Post Publishers Limited,"Causeway Bay, Hong Kong Island",Create data tools to help streamline and automate workflows for Data Analytics & Insights team. Enhance data collection processes to include data from 1st and...,2 days ago,https://www.indeed.hk/rc/clk?jk=5a1976083411ead8&fccid=dd616958bd9ddc12&vjs=3
5,Data Scientist,Data Scientist,AXA,Hong Kong,Data Scientist (180003VK). Big data/ Data Modelling. 3+ years of relevant working experience in data analytics field as statistician / analyst / data scientist....,3 days ago,https://www.indeed.hk/rc/clk?jk=b3b7b9e98a61c1fa&fccid=753062d67d31c43a&vjs=3
6,Data Scientist,Data Scientist / Computational Scientist,Cluster Technology Ltd,Hong Kong,"Utilize user characteristics and behavior data, financial data to do data mining and model building analysis; Knowledge on data structure and algorithm;...",3 days ago,https://www.indeed.hk/rc/clk?jk=7c4e3ed4b7d830af&fccid=f1943ec5b4031bab&vjs=3
7,Data Scientist,Data Science Manager,AXA,Hong Kong,5+ years of relevant working experience in data analytics field as statistician / analyst / data scientist. Ability to perform the big data analytics processes...,3 days ago,https://www.indeed.hk/rc/clk?jk=93f3370578599ae8&fccid=753062d67d31c43a&vjs=3
8,Data Scientist,AI Data Scientist (Strong Programming Required - C++/Java/Python),Risksis Technology Limited,Hong Kong,Big Data) collected in business operations and in daily lives.We offer online platforms for different verticals using our proprietary big data technologies so...,4 days ago,https://www.indeed.hk/rc/clk?jk=1d145e126e524ee9&fccid=004a3c8ab34d1b62&vjs=3
9,Data Scientist,Bank Data Scientist,Conners Recruitment,Hong Kong,Deep knowledge and proven track record of analyzing Big Data or multiple sources data. Design and implement big data analytics projects....,4 days ago,https://www.indeed.hk/rc/clk?jk=c5fab6eadf872dc9&fccid=5f9b20609e6ef115&vjs=3
10,Data Scientist,Data Scientist,Hotmob Limited,Hong Kong,"Architect, implement and deploy new data models and data processes in production. Enhance data collection processes to include data from 1st and 3rd party...",4 days ago,https://www.indeed.hk/rc/clk?jk=a59b9777a43f6a69&fccid=84730bf136145336&vjs=3
11,Data Scientist,Data Scientist,ELEVATE HONG KONG HOLDINGS LIMITED,Hong Kong,We are seeking an ambitious Data Scientist to play a leading role on our Data & Analytics team to use data to accelerate business-driven sustainability....,4 days ago,https://www.indeed.hk/rc/clk?jk=3d6b604aed24017e&fccid=e4dcd6f81ea5aa93&vjs=3
12,Data Scientist,Senior Data Analyst / Data Scientist,Conners Recruitment,Hong Kong,Responsible for the implementation of big data analytics projects. Minimum of 5 years' experience in data mining &/or machine learning;...,4 days ago,https://www.indeed.hk/rc/clk?jk=2ebe6ff344ad4752&fccid=5f9b20609e6ef115&vjs=3
13,Data Scientist,"Data Scientist, senior level",Terminal 1,Hong Kong,"Data Visualization skills. Design data collection, integration and retention requirements. Conduct data analysis and create algorithms to predict probabilities....",Nothing_found,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9s9TFiKNzkgpJhS0gcoCqHFr4DJfP4qHxiYW9OZ4Wqf8nrZsP6dpX4JnTi7apSNEY_KXnfaQhWDa8TKeOPgXPlmvBeD1rVcLb7mcXldwDLRYbQ_ytgoT14lFoS429N1AlOkReyDh4xQ8Lj6ipBgXemWLZ8fDjPyLx-JcT2tGKefHRbLpzSpyW0RocRQ_aNAr9fzlRTD10kz22fsXXwbDiLjvkFH7Qlah-vJKDIRrDPj5r1rAVEEyGJPPj_ywGEyXGXO2RoJfzGKT8usTYcJDPbzCMg0CTRpuEK7YwQWuuAVWTxhh8ogJdt30zNADqNKER3tvpTl9AIWh95iV0tc1hz5ChusMsQRnmmcJpsz7v2q8qdXmoHTrMU38dqD4Cc2pm0T-ZlljLhhXFKFsq-CLArXvJXsul_NW4zd1T_beAn-NJT2g9GOK2AJBQMy2z46_k11P9zgxGi6_abVbkh5IXGcJt58Am3twAG9F4pr-zC5O9TpLDb9Zu4OOc6IoO5AJQSaSxlsaRgyVLIPdIQxOcB7TqZaDua80cZRufz8dn_i6TqFaM_xGf2XO3vSQJcPGvaewO7Hyrlz6Sgnwi9qORZ8FkiWkemaxzwH-Er1Ig50CGBG-7unw0-8pte4ImvGE5mxd1plm3b1f6wlKTG2iv3M4I3QUEkxKclQzuT7ga0dZ3BleRdMQX5XBSuLnnEGBfBSQBy6HYU8gUq-iXKRUsODl9VUJ_4-AQ_R_b6iwpcbhIRt0WhE7k6OvZTNAyXpzzWQXpBlA34iyORTJhLP-JixnliECDT5DNA==&vjs=3&p=4&sk=&fvj=0
14,Data Scientist,"Data Scientist, Director- Financial Services APAC- HKD80k",Cogs Agency HK,Hong Kong,"They are looking to hire a Data Scientist, Director, to help enhancing such capabilities. Solid experience in data science, machine learning, Natural Language...",Nothing_found,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9s9TFiKNzkgpJhS0gcoCqHFHyeSi1Vekws-hTHJ0CaYNG0k_UwhWxzEMoV7S7GmWaFz6W0zFO7j5-K6LuecPCqseBZQh5lyprb8CybYJXogA2mUQ_ioyXBdoD0js0sKGf56ckkJxfhtlXHMBJTmZLw4-i8bsNlbWnFAMJmn4PkGZacmf60RSscvkZkjZ8WCJG5SIp5hohmZhgkZjDcAeWH1wyQ4w6Zy15OGM28GSGFKzSQaw_CG4Tmd5BCokbzvao_ik30aFkpXl4YheSmBNBOWvOFniRbK76q6YZZut2EvmiR7437gZgUG5_nW_9NPTj3q5zD03w1TGt_GwO2memxZ6DC4mHhL7e6ARD0iBxCUSuC223ljw_q_fa-xRq53iwx4k4PCxr5L9LIN66RUGuzwwqRsDv17BrACiP5zswv8uTdGlPSoUiv23krc1lNH6IzWKuBR5uECgrxBCQt4vUC1wpngIA9UFKUzZYwwiXR0ALLuoFz_k3JSkBPdY8XUThspqXo-3309KSF8exm0y33N8EZwqQgS9wi9mRRWHvaRGSnW3ZQelXqIRo0Y8Ch9vUwoYKDVgQT7vVyQWgln2PJcch9n8LrIiaQgCbMVlCKx03b13nB2COcD14PUMmJNZR8E9SmhborB9G8gp9nDsbHZm0rBlS3CScRXxvqX5ok_AZHIZBMrWelTFeq8LuYP-5H_qK7kogyLdjgB5rnJPiwzYEtfNn9HAJJo6XTo3d94XGS-nMSOZ-VsEq6YCJ5Y1oy38tlBiji3X96JzHT7WPPqxpr2mssSNHlcf18fn0GONoaj8QjqHDT6ebe5seB12vQ==&vjs=3&p=5&sk=&fvj=0
18,Data Scientist,Data Goverence Director - Financial Services,Michael Page,Hong Kong,"Bachelor Degree or above in Information System, Data Scientist, Information Management or equivalent. Regional data and analytics is a journey to transform the...",4 days ago,https://www.indeed.hk/rc/clk?jk=228b5b20d084a6a8&fccid=77087bd1709a8148&vjs=3
19,Data Scientist,Data Scientist,Neo Derm Ltd.,Hong Kong,Undertake processing of structure and unstructured data. Get involves in preparation of data visualization reports and analytical dashboards....,6 days ago,https://www.indeed.hk/rc/clk?jk=8065aee734f99b7c&fccid=acdd7980231ab028&vjs=3
20,Data Scientist,"Research Data Scientist /Big Data Engineer,AI Dept",SmartBlkTrade,Hong Kong,"Handle the tasks of data analytics, big data, data visualization, data warehousing and delivery of projects and products....",6 days ago,https://www.indeed.hk/rc/clk?jk=af25aa05f0edbc76&fccid=afefea0edad5ffb5&vjs=3
21,Data Scientist,Data Analytics Manager (AI),Neo Derm Ltd.,Hong Kong,5+ years of relevant working experience in data analytics field as statistician / analyst / data scientist. Perform the big data analytics processes on massive...,6 days ago,https://www.indeed.hk/rc/clk?jk=95a40091e76a6b26&fccid=acdd7980231ab028&vjs=3
22,Data Scientist,Data Scientist - Digital Platform,Michael Page,Hong Kong,"As a Data Scientist, you are required to:. Specialisation:IT Data Analysis. To cope with their business needs, they are now expanding their Data Analytics team...",6 days ago,https://www.indeed.hk/rc/clk?jk=ab28194145da1dce&fccid=77087bd1709a8148&vjs=3
24,Data Scientist,Data Scientist #114944,Credit Suisse Asia,Hong Kong,"Data Scientist #114944. You have experience in the areas of data analytics, data mining and machine learning. You are passionate about software and data....",10 days ago,https://www.indeed.hk/rc/clk?jk=b2f6f04f2f9f6e7b&fccid=e127f4594cdf24f4&vjs=3
25,Data Scientist,Data Scientist,HGC Global Communications Limited,Hong Kong,"We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data....",7 days ago,https://www.indeed.hk/rc/clk?jk=2f0111cd36beaac8&fccid=66338ce73796a615&vjs=3
26,Data Scientist,Solution Engineer,Leading Edge Group Limited,Hong Kong,"To implement big data and data management for business analytics application. Leading Edge Group Limited (“LEG”) is found by a team of highly experienced IT,...",9 days ago,https://www.indeed.hk/rc/clk?jk=96ada43503e28b0b&fccid=a02c35d83a434ef8&vjs=3
27,Data Scientist,Data Scientist / PM - Top Chinese Bank,Hays,Hong Kong,"You will need to have proficiency with Python, R or other statistical / data science language. You will need to have experience with statistical modeling tools...",11 days ago,https://www.indeed.hk/rc/clk?jk=45b63a8461fab754&fccid=31670bef3ae6497b&vjs=3
29,Data Scientist,Data Scientist,RADICA SYSTEMS LIMITED,Hong Kong,Implement data science and data analytic models in common languages. Devise technical data analytic or data science solutions to open business problem....,Nothing_found,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0C1KiKFNLSTeoagfKR_iBMdGU9SgqzP7Goclj1knC2rZz8RByLEz8BsgzjaLoQa0qhxhTKY1Jp5Dg3tFhOkACFWrOGWboh-NMQADnzLrvIS6pkKXPgn3ze4Jm1jt-5pf2qeJ_S580DymMn_sX6hnXOgogGNXxU7_FLiPxkX45_KYz8P8kkuHOka3sTtKFP8Dsr3TNm1E0RylUllMihOETuykWj4SS7i5wwq1_b2D9Oqt1Soo3F8lZV50lEXo_z9QANHnM4slJgweuY4OZdXL2BUi94tgN6Y2cwf-YWqrGzt2xU_-fHg4X91VdnMj201juP70IXr8brOCSFByQzwa6yZTp49SbKDn7w9Sj5j-i3FkW4As0_qt-i8_oSl7Wtsa4FE6tohKX1AU_0dduUEoogig-s8aEUPUB43J6uN0WkNA0NAx4jcGsCM0C0ECPaP0ecpNoXtNyhLoa8MFwH7W6yrotZ74wK2dP_4OiidjVKt5zsFZXSqexQ6p3-B5FLjwRvDva0JEriHDddJjKbMuvywFlP98i0RsiFO69PiHNL-sfiBPILGzht95QREx1LpfWy6AiwX_SvVNET-hRwUZQEs0VX9jIzJ3Evv6GwrW3Mwv50eQeNzt4tUtmzMC6UrhdF2h77MQ_6LGySAa942TOzfadmQ0w7CYQosEjcHx8x9lA==&vjs=3&p=5&sk=&fvj=0
30,Data Scientist,Data Scientist - Media,MICHAEL PAGE,Hong Kong,"To cope with their business needs, they are now expanding their Data Analytics team in Hong Kong with openings on Data Scientist position and you will be...",Nothing_found,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0C1KiKFNLSTeoagfKR_iBMdGU9SgqzP7Goclj1knC2rZz8RByLEz8BsgzjaLoQa0qgaiv3bcZJOpWLZzi_7GLThs8_li16jTdY42fd-EdvHSkBysUNKiZtHKqwO0pNTePpN0MpIrqT3Kz6PUXXzcqy8nIMMyjtIHSmfrQ0vti9wy0vFvcwr86oLJzC2thQg-ULqH4eA0komz-Xer5vPfXKrMeVzYLHGWG6VvHSznRxBOw5NFu-JxvLUB1hm7WDMxGGe6zFhWIurfh8b48cCKmPq5D4bj1V1dKxh2m2yybQnhWWFnrWG0BcQFPRRh_2Gius2H8EmmNTDFXusrmx8LbbIchj7xtJe3valTbg8H3Zp9BrAPB_DSjdPMXQBNc7goZXjwI392S6CxgMu2CjqE2SSCmog2jD3df2QBLbo-jEYTE6RP_tZuD0Bq33hT0yEb9RYquBjvSoo58yXOfHtWyqn1rRu7csmbrdl_0rINHQy43ZiKrTjBqDnuBD7_sMRISIbirDG1k2sqhUApFpW1JQuYRCimnwQ-8FzKdXMW_yVhOYPJ7sEoj7UP2jYwPWfXYB6hk5rOuhOQQG--wHHD_-Rv6GoGdDu8pUSGmKqLSsFPklurYy0shRHqXemr03xC-L1Hf_SvD8efhABhIaYaLpVp-mV72ZdYnqcQchMlp8Aoe7rCCxAxTpg&vjs=3&p=6&sk=&fvj=0
35,Data Scientist,Data - Speech Analytics,Robert Walters,Hong Kong Island,"A reputable retail bank is now hiring a data scientist as well as a data engineer to join their COE data team. For Data Engineer, they should possess good spark...",9 days ago,https://www.indeed.hk/rc/clk?jk=24074c092c848a4b&fccid=f01c2f55ec3054bf&vjs=3
36,Data Scientist,Data Scientist,Cathay Pacific,Hong Kong,"Essential to have strong understanding in database concepts & data modelling, business intelligence disciplines & data management tools....",17 days ago,https://www.indeed.hk/rc/clk?jk=d92b5c3ca5f3d1f7&fccid=db1582c344bff845&vjs=3
37,Data Scientist,Data Scientist / Quantitative Analyst,SIRIUS Partners Ltd,Hong Kong,"Proficient in the analysis of large data sets, with solid programming knowledge in a data analysis oriented language (preferably Python)....",17 days ago,https://www.indeed.hk/rc/clk?jk=25caad1ec1d1ff7a&fccid=5d898ab80c3f3e38&vjs=3
38,Data Scientist,Data Engineer,Classy Wheeler,"Kwun Tong, Kowloon",Support data scientist development. Build ETL flows for streaming data transformations for data analyses....,17 days ago,https://www.indeed.hk/rc/clk?jk=076f2353e5e862df&fccid=7e57982cb894da40&vjs=3
40,Data Scientist,Data Scientist for Big Data Project & AI - Major Bank,IT Solutions Ltd.,Hong Kong,Solid experience in Data Science / Data Analysis / Data Mining /creation of statistics modelling. Deliver big data analytics:....,16 days ago,https://www.indeed.hk/rc/clk?jk=e8bbc70454b41a22&fccid=eef3c5af56408325&vjs=3
